"loc","model","subset.data","smooth.interval","lhs.row","loglik","se","V_wane_rate","rec_rate","V_fail_rate","V_symptom_rate","beta0","beta1","beta_mod_A","rho","sigmaSE","lag","S_0","I_0","A_0","V_0"
"US","all.equal","all","two.weeks",18,-14533.639200345,19608.047119064,0.00119630899062821,0.0310574803445134,0.024765781605895,0.24775276162639,0.0340013903875306,0.00759318440260539,0.915605975748356,0.0158072367625871,1.29053614857215,0.00127575050793498,0.00120228086232569,0.00228567220618542,0.000363602618848762,0.99614844431264
"US","all.equal","all","two.weeks",19,-7480.53348292231,22.5823945137853,1.73061953439713e-05,0.0899064512947458,0.877696991793778,0.00469339799827948,0.104260777120768,0.0915641105718006,0.92240141763221,0.988902722699738,0.641191054499193,0.470054577409313,0.0213214706676919,0.00628029579133458,0.0100926223427338,0.96230561119824
"US","all.equal","all","two.weeks",20,-35649.1725840541,36.3880701980117,0.00111241977038886,0.0254828491778083,0.00125662596076856,0.790794294233474,0.000586565250397733,0.0531101395372154,0.136529114534761,0.996074910999384,9.57904964066692,0.603548189991075,0.922158432305142,0.0229072744457763,0.0533632300041972,0.00157106324488433
"US","all.equal","all","two.weeks",21,-36704.5663450895,0.564527169510258,0.00126613962848743,0.254143301224412,0.0024690603847481,0.993963544352369,0.0551450158400176,0.137655985440305,0.201152431561263,0.60461483738279,1.15993413884742,0.0359051630727638,0.00750459332305125,0.003590740050956,0.979770774895159,0.00913389173083419
"US","all.equal","all","two.weeks",22,-28609.3152071389,7060.2593550814,9.09050426431702e-05,0.835319158619383,0.0364017550567947,0.994467211107067,2.38750298386816,0.00315611039007434,0.999995667895494,0.90587863703725,2.50485971987093,0.869669764182083,0.995016456639623,2.52427213419595e-05,0.00477280167699759,0.000185498962037712
"US","all.equal","all","two.weeks",23,-6453.26396570869,11.8752225552579,0.000101695377563966,0.000843490023198368,0.566007830359403,0.996806598616552,0.00176379640130169,0.263243247387235,0.14785067140766,0.000617976387774019,1.69012276033407,0.455025696212637,0.00182881642315621,0.030950684000544,0.862796697078399,0.104423802497901
"US","all.equal","all","two.weeks",24,-6436.48216716859,13.0630733234556,0.000277746152028657,0.032753066127196,0.883492195651543,0.0100036850373208,0.0366460083871908,0.00117975203501287,0.92894789957351,0.00155245134413452,1.06232968823339,0.00380344134382573,9.49825604613274e-05,0.999428026866151,0.000262477599715057,0.000214512973672168
"US","all.equal","all","two.weeks",25,-17535.0313466997,260.714100881233,0.185603099372423,0.0658813471474254,0.769629871069434,0.0179435326076973,0.0651553264894071,0.0419239073672992,0.742532942180415,0.999341693842345,0.695461982644681,0.268881511138236,0.0229445427253374,0.502482919465546,0.102047627544582,0.372524910264535
"US","all.equal","all","two.weeks",26,-6358.0617708945,20.6578794964914,1.55956178956378e-05,0.000594875275969033,0.638088660945759,0.978607063212212,0.0010398591331744,0.113216562123414,0.00154550488490126,0.0559620217279858,1.91039197152821,0.269067170519761,4.60721397414128e-05,0.00432454985397231,0.920637770735986,0.0749916072703001
"US","all.equal","all","two.weeks",27,-16774.1553953781,4574.5992816665,0.00591393731390002,0.132846484608152,0.998340325845186,0.926283264195138,0.126016968714923,0.0278892884943679,0.662844508886629,0.956297319939033,0.33006423113999,0.188590724807665,0.250310082097141,0.667473585997777,0.0219108864868794,0.0603054454182027
"US","all.equal","all","two.weeks",28,-5883.11778802643,12.3584160851572,0.0205635341288642,0.0570243269191979,0.0654440183425372,0.0827162204792169,0.0581450575336209,0.117413999979784,0.000380846967529506,0.989901178429173,0.842621485139893,0.244736765681934,0.000193771985653011,2.52201182708476e-06,0.00020123656716689,0.999602469435353
"US","all.equal","all","two.weeks",29,-6624.45279556741,0.863568253422944,4.7194249971687e-05,0.00312316476807294,0.989157995971357,0.00225542899619966,0.00955143019554817,0.123819076574547,0.0022121657137061,0.388926262510806,2.19223793250796,0.741413192008533,1.6597096631428e-06,0.00197242277573061,0.996732890121464,0.00129302739314263
"US","all.equal","all","two.weeks",30,-6271.36012616232,4.36584677527604,1.1699921256933e-05,0.00107397424404865,0.0260939920810809,0.0646286096407869,0.00759389345999695,0.00386283721468004,0.998221454901696,0.986481685175254,2.32929659926174,0.998047072194123,0.00142136553452152,0.000466503034056081,0.000476311624171005,0.997635819807251
"US","all.equal","all","two.weeks",31,-6005.75124326483,11.1091551405218,6.3129987459278e-05,0.0418486550335737,0.761467601593922,0.00145269685249356,0.0591783737826957,0.138177606433491,0.944456728959118,0.00234703842896478,0.880747056309596,0.212356034374256,0.00041215250898849,0.0104264677503185,0.0667342085992574,0.922427171141436
"US","all.equal","all","two.weeks",32,-6276.40812395033,22.1882079991307,0.534741412868506,0.0415181323337867,0.00608347629521859,0.0586583499078245,0.04125890333304,0.0857927852835441,0.00149108510392708,0.992021634412931,0.909224960137049,0.265914236060365,0.998001325957234,6.64316781415685e-06,0.000999025148522624,0.00099300572642933
